entry_time,entry_price,exit_time,exit_price,pnl
2025-08-07 16:00:00-04:00,23504.25,2025-08-07 23:55:00-04:00,23553.25,647.5
2025-08-10 20:10:00-04:00,23733.0,2025-08-11 00:25:00-04:00,23741.0,105.0
2025-08-11 02:45:00-04:00,23748.25,2025-08-11 03:25:00-04:00,23742.0,-180.0
2025-08-11 06:25:00-04:00,23738.0,2025-08-11 06:30:00-04:00,23729.5,-225.0
2025-08-12 00:40:00-04:00,23668.25,2025-08-12 01:00:00-04:00,23618.75,-1045.0
2025-08-12 03:10:00-04:00,23667.25,2025-08-12 03:15:00-04:00,23658.5,-230.0
2025-08-12 03:55:00-04:00,23665.75,2025-08-12 04:10:00-04:00,23651.75,-335.0
2025-08-13 19:45:00-04:00,23956.25,2025-08-13 19:50:00-04:00,23952.75,-125.0
2025-08-14 04:00:00-04:00,23934.75,2025-08-14 04:35:00-04:00,23928.5,-180.0
2025-08-14 06:35:00-04:00,23934.0,2025-08-14 06:40:00-04:00,23927.75,-180.0
2025-08-14 06:55:00-04:00,23935.0,2025-08-14 08:30:00-04:00,23822.0,-2315.0
2025-08-14 19:10:00-04:00,23901.25,2025-08-14 19:30:00-04:00,23896.5,-135.0
2025-08-14 19:45:00-04:00,23900.75,2025-08-14 19:50:00-04:00,23895.0,-153.0
2025-08-17 18:15:00-04:00,23838.0,2025-08-17 23:30:00-04:00,23860.75,360.0
2025-08-19 03:05:00-04:00,23761.5,2025-08-19 03:10:00-04:00,23757.75,-117.0
2025-08-19 03:50:00-04:00,23768.75,2025-08-19 04:05:00-04:00,23763.5,-144.0
2025-08-19 04:30:00-04:00,23768.75,2025-08-19 06:45:00-04:00,23768.75,-49.5
2025-08-20 02:40:00-04:00,23385.5,2025-08-20 07:35:00-04:00,23393.25,90.0
2025-08-20 20:35:00-04:00,23304.0,2025-08-20 20:50:00-04:00,23284.0,-409.5
2025-08-21 18:15:00-04:00,23241.5,2025-08-21 18:20:00-04:00,23236.5,-139.5
2025-08-21 18:45:00-04:00,23240.5,2025-08-21 19:30:00-04:00,23233.0,-184.5
2025-08-22 03:15:00-04:00,23173.25,2025-08-22 09:25:00-04:00,23264.75,1597.5
2025-08-27 02:25:00-04:00,23614.0,2025-08-27 02:50:00-04:00,23604.0,-255.0
2025-08-27 03:10:00-04:00,23604.5,2025-08-27 03:15:00-04:00,23595.0,-245.0
2025-08-28 02:20:00-04:00,23562.25,2025-08-28 06:40:00-04:00,23599.75,625.5
2025-08-28 06:55:00-04:00,23611.5,2025-08-28 07:05:00-04:00,23597.25,-340.0
2025-08-31 18:10:00-04:00,23504.75,2025-08-31 21:50:00-04:00,23509.25,35.0
2025-09-01 02:45:00-04:00,23447.75,2025-09-01 07:25:00-04:00,23465.25,265.5
2025-09-04 00:10:00-04:00,23488.25,2025-09-04 01:20:00-04:00,23467.0,-480.0
2025-09-04 03:10:00-04:00,23486.75,2025-09-04 07:50:00-04:00,23488.0,-30.0
2025-09-05 04:10:00-04:00,23771.5,2025-09-05 07:55:00-04:00,23769.25,-90.0
2025-09-07 18:40:00-04:00,23729.25,2025-09-07 22:15:00-04:00,23739.5,135.0
2025-09-08 02:10:00-04:00,23755.75,2025-09-08 08:10:00-04:00,23747.0,-230.0
2025-09-08 16:05:00-04:00,23809.25,2025-09-08 16:20:00-04:00,23799.0,-234.0
2025-09-08 18:05:00-04:00,23813.25,2025-09-08 21:20:00-04:00,23796.25,-355.5
2025-09-10 06:40:00-04:00,23925.25,2025-09-10 09:25:00-04:00,23998.0,1260.0
2025-09-10 18:50:00-04:00,23892.5,2025-09-10 20:10:00-04:00,23883.0,-245.0
2025-09-10 20:30:00-04:00,23893.75,2025-09-11 00:20:00-04:00,23888.0,-170.0
2025-09-11 02:25:00-04:00,23905.5,2025-09-11 08:30:00-04:00,23882.75,-510.0
2025-09-12 03:00:00-04:00,24027.5,2025-09-12 03:40:00-04:00,24009.0,-382.5
2025-09-12 06:35:00-04:00,24016.75,2025-09-12 07:05:00-04:00,24013.5,-108.0
2025-09-12 16:20:00-04:00,24113.0,2025-09-15 04:00:00-04:00,24326.0,3784.5
2025-09-17 02:55:00-04:00,24532.0,2025-09-17 04:10:00-04:00,24527.75,-140.0
2025-09-18 03:05:00-04:00,24625.25,2025-09-18 08:55:00-04:00,24690.0,1240.0
2025-09-18 18:10:00-04:00,24739.75,2025-09-18 18:30:00-04:00,24732.25,-205.0
2025-09-18 19:00:00-04:00,24736.0,2025-09-18 20:10:00-04:00,24723.75,-300.0
2025-09-19 06:20:00-04:00,24715.75,2025-09-19 09:25:00-04:00,24768.25,995.0
2025-09-22 04:20:00-04:00,24812.5,2025-09-22 04:45:00-04:00,24803.0,-245.0
2025-09-22 19:00:00-04:00,24993.0,2025-09-23 00:25:00-04:00,24988.5,-145.0
2025-09-23 03:20:00-04:00,24987.0,2025-09-23 03:25:00-04:00,24988.5,-25.0
2025-09-23 03:35:00-04:00,25000.0,2025-09-23 07:10:00-04:00,24976.5,-525.0
2025-09-24 00:50:00-04:00,24852.0,2025-09-24 03:10:00-04:00,24853.25,-30.0
2025-09-24 03:45:00-04:00,24885.25,2025-09-24 07:40:00-04:00,24880.5,-150.0
2025-09-24 16:05:00-04:00,24749.75,2025-09-25 00:15:00-04:00,24773.75,425.0
2025-09-25 04:05:00-04:00,24755.5,2025-09-25 04:45:00-04:00,24730.75,-550.0
2025-09-25 20:15:00-04:00,24621.75,2025-09-25 20:25:00-04:00,24614.75,-195.0
2025-09-29 02:15:00-04:00,24833.0,2025-09-29 07:10:00-04:00,24861.0,505.0
2025-09-30 02:15:00-04:00,24846.25,2025-09-30 02:40:00-04:00,24838.75,-205.0
2025-10-01 04:45:00-04:00,24721.5,2025-10-01 09:25:00-04:00,24763.75,790.0
2025-10-02 16:10:00-04:00,25119.75,2025-10-02 16:20:00-04:00,25115.0,-150.0
